sensorId,lat,lon,boxName,boxId,exposure,unit,pm10_2018-12-30T23Z,pm10_2018-12-31T00Z,pm10_2018-12-31T01Z,pm10_2018-12-31T02Z,pm10_2018-12-31T03Z,pm10_2018-12-31T04Z,pm10_2018-12-31T05Z,pm10_2018-12-31T06Z,pm10_2018-12-31T07Z,pm10_2018-12-31T08Z,pm10_2018-12-31T09Z,pm10_2018-12-31T10Z,pm10_2018-12-31T11Z,pm10_2018-12-31T12Z,pm10_2018-12-31T13Z,pm10_2018-12-31T14Z,pm10_2018-12-31T15Z,pm10_2018-12-31T16Z,pm10_2018-12-31T17Z,pm10_2018-12-31T18Z,pm10_2018-12-31T19Z,pm10_2018-12-31T20Z,pm10_2018-12-31T21Z,pm10_2018-12-31T22Z,pm10_2018-12-31T23Z,pm10_2019-01-01T00Z,pm10_2019-01-01T01Z,pm10_2019-01-01T02Z,pm10_2019-01-01T03Z,pm10_2019-01-01T04Z,pm10_2019-01-01T05Z,pm10_2019-01-01T06Z,pm10_2019-01-01T07Z,pm10_2019-01-01T08Z,pm10_2019-01-01T09Z,pm10_2019-01-01T10Z,pm10_2019-01-01T11Z,pm10_2019-01-01T12Z,pm10_2019-01-01T13Z,pm10_2019-01-01T14Z,pm10_2019-01-01T15Z,pm10_2019-01-01T16Z,pm10_2019-01-01T17Z,pm10_2019-01-01T18Z,pm10_2019-01-01T19Z,pm10_2019-01-01T20Z,pm10_2019-01-01T21Z,pm10_2019-01-01T22Z,pm10_2019-01-01T23Z,pm10_2019-01-02T00Z
5a0c347b9fd3c2001111b703,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,outdoor,µg/m³,98.83833333333334,108.85166666666667,101.5,118.09333333333333,164.91333333333333,197.1616666666667,183.265,181.69833333333332,100.64666666666668,66.27833333333334,43.708333333333336,40.586666666666666,37.858333333333334,62.37,30.866666666666667,29.15666666666667,29.833333333333332,85.07,44.635,38.684999999999995,46.98166666666667,39.04,32.98,40.206779661016945,78.75166666666668,16.146666666666665,21.626666666666665,34.81333333333334,45.348333333333336,64.54,54.55833333333333,41.13333333333333,45.419999999999995,42.365,25.211666666666666,16.455737704918032,10.6,19.2135593220339,20.404999999999998,18.39333333333333,28.348333333333336,16.465,18.888333333333332,16.605,17.708333333333332,19.248333333333335,19.58833333333333,19.495,21.321666666666665,23.346666666666668
5a0d58d69fd3c2001129024e,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,outdoor,µg/m³,38.93333333333333,33.151666666666664,29.128333333333334,31.623333333333335,44.690000000000005,46.57666666666667,49.651666666666664,53.85666666666667,35.77833333333333,34.486666666666665,25.398333333333333,27.951666666666664,28.654999999999998,25.33,26.058333333333334,23.28166666666667,22.851666666666667,25.826666666666664,36.818333333333335,28.376666666666665,37.49333333333333,41.19833333333334,36.99,29.138333333333332,69.00666666666666,21.925,19.861666666666668,30.878333333333334,42.61666666666667,63.675,60.24166666666667,41.63333333333333,41.059999999999995,33.835,16.283333333333335,11.06,10.268333333333334,20.35666666666667,20.28666666666667,17.483050847457626,18.803333333333335,14.868333333333334,18.163333333333334,17.685,17.709999999999997,19.483333333333334,20.075,18.85,21.276666666666664,22.695
5a30ea5375a96c000f012fe2,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,outdoor,µg/m³,0.5733333333333334,0.5766666666666667,0.5549999999999999,0.565,0.5633333333333332,0.58,0.5616666666666666,0.5616666666666666,0.5566666666666666,0.5466666666666666,0.5433333333333333,0.4966666666666667,0.49,0.49,0.5466666666666666,0.5216666666666667,0.55,0.5216666666666667,0.5583333333333333,0.55,0.535,0.5766666666666667,0.5728813559322034,0.5816666666666667,0.5883333333333333,0.5933333333333334,0.61,0.6183333333333334,0.6433333333333333,0.625,0.6549999999999999,0.6233333333333333,0.6316666666666666,0.61,0.6216666666666666,0.61,0.5783333333333333,0.5583333333333333,0.5433333333333333,0.5516666666666666,0.6066666666666667,0.6766666666666666,0.6816666666666666,0.6883333333333332,0.6366666666666666,0.6633333333333333,0.635,0.6866666666666666,0.6566666666666666,0.6549999999999999
5a40e41fd9a664000f4b455b,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,outdoor,µg/m³,,,,,,,,,,,,,,,,,0.26,0.295,0.31,0.3416666666666667,0.32166666666666666,0.33166666666666667,0.3383333333333333,0.3233333333333333,0.33,0.3333333333333333,0.36000000000000004,0.3466666666666667,0.34833333333333333,0.335,0.345,0.3283333333333333,0.36000000000000004,0.36333333333333334,0.36333333333333334,0.37,0.3516666666666667,0.2733333333333333,0.2866666666666667,0.32295081967213113,0.36166666666666664,0.37,0.41000000000000003,0.38333333333333336,0.40166666666666667,0.41500000000000004,0.4266666666666667,0.415,0.4033333333333333,0.3983333333333334
5a687677411a790019444135,51.959126,7.605076,AFO Uni Münster,5a687677411a790019444133,outdoor,µg/m³,49.015,42.53333333333333,36.29833333333333,41.43333333333333,57.655,52.08166666666667,70.7,73.21166666666666,45.07833333333333,38.95,25.205,28.741666666666667,29.701666666666664,23.795,24.526666666666664,20.403333333333332,20.685,22.73,29.68,25.758333333333333,33.75833333333333,38.38333333333333,33.45,24.348333333333336,27.23166666666667,18.529999999999998,23.84,31.94,42.42666666666666,61.38,55.544999999999995,38.33166666666667,43.13666666666666,36.70666666666667,16.203333333333333,10.591666666666667,9.22,18.061666666666667,15.095,14.928333333333335,16.446666666666665,14.971666666666666,16.46333333333333,14.468333333333334,16.12666666666667,16.881666666666668,17.763333333333332,16.886666666666667,19.131666666666668,20.191666666666666
5abd221b850005001b1aff39,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,outdoor,µg/m³,76.47208333333333,74.48625,74.45875,74.47625000000001,75.665,76.66,76.71333333333332,78.15541666666667,77.62791666666666,76.80375,77.10458333333334,77.49083333333333,80.33333333333333,79.64708333333333,82.44416666666667,79.21458333333334,81.85625,82.18458333333334,84.54125,80.94958333333334,82.35333333333334,82.39041666666667,80.63083333333333,79.97958333333334,165.85666666666665,105.94333333333333,81.03750000000001,85.60541666666666,84.6225,88.36583333333334,89.25625000000001,84.47666666666667,82.02499999999999,79.57791666666667,82.28958333333334,76.85791666666667,76.26,81.01791666666666,79.30166666666666,77.38791666666667,75.58166666666666,75.65958333333333,74.36458333333333,73.79083333333334,73.32833333333333,74.42208333333333,73.45708333333333,73.60125000000001,74.44,73.7375
5ac9be65c4edec00190439f3,51.976309,7.626046,PGKN FS01 - Schule,5ac9be65c4edec00190439ef,outdoor,µg/m³,23.5456,19.666666666666668,16.115833333333335,18.66625,20.48875,24.229583333333334,27.60375,32.134166666666665,26.3996,23.9025,17.554583333333333,19.53291666666667,20.308333333333334,19.724999999999998,19.84625,18.833333333333332,16.769166666666667,20.062,23.255416666666665,23.625416666666666,29.909583333333334,33.819583333333334,29.53833333333333,24.180833333333336,42.17333333333333,16.827916666666667,15.46125,25.1268,36.15434782608696,54.525600000000004,52.6625,32.8975,29.845217391304345,23.1692,11.9825,7.871666666666666,8.119583333333333,17.428333333333335,15.677083333333334,14.429166666666667,15.466666666666667,12.051666666666668,14.397083333333335,12.94,14.1625,15.487499999999999,14.905416666666667,15.497916666666667,16.870833333333334,18.89125
5ac9edb1c4edec00190b2149,51.980717,7.65084,PGKN FS02 - Rumphorst,5ac9edb1c4edec00190b2145,outdoor,µg/m³,76.8108695652174,68.77304347826087,57.60583333333333,65.52380952380952,75.75227272727273,82.13666666666667,95.66518518518518,113.77888888888889,70.91346153846153,49.8932,34.19481481481481,40.17172413793104,44.51068965517241,40.08793103448276,41.409642857142856,34.44315789473684,43.7021052631579,41.92611111111111,47.97235294117647,49.26199999999999,57.33166666666667,68.54538461538462,55.29153846153846,41.24692307692308,166.98315789473682,30.603749999999998,26.673846153846153,46.766666666666666,66.20777777777778,105.93636363636364,100.36466666666666,61.205,59.017222222222216,46.62882352941176,20.023684210526316,12.655454545454546,14.424000000000001,36.59,31.462857142857143,29.31107142857143,37.01416666666667,28.34090909090909,32.64791666666667,27.19333333333333,27.5195,25.225,26.442857142857143,33.21,35.254285714285714,37.748275862068965
5acfae2a223bd8001977b622,51.988501,7.646677,PGKN FS03,5acfae2a223bd8001977b61e,outdoor,µg/m³,40.970416666666665,36.55041666666667,33.71541666666666,39.244166666666665,46.5168,53.872083333333336,61.85666666666666,77.19208333333334,58.3316,42.65916666666667,29.232916666666668,30.05875,30.586250000000003,26.476399999999998,28.4225,26.771666666666665,24.98875,26.7416,27.98,30.650833333333335,36.54666666666667,40.51125,37.3456,28.88416666666667,43.467083333333335,21.95875,20.969166666666666,34.0348,46.10041666666667,66.22833333333334,67.63416666666667,41.47125,41.45916666666667,36.552,18.15875,12.047083333333333,11.718333333333334,22.375,20.0812,18.579583333333336,17.66875,15.31,18.486250000000002,16.5275,18.448333333333334,20.214583333333334,18.6036,18.51304347826087,20.646666666666665,21.23875
5ae36a64223bd80019734633,51.973884,7.615585,PGKN FS07,5ae36a64223bd8001973462f,outdoor,µg/m³,17.5325,14.60875,12.115,13.6372,17.662916666666668,21.132083333333334,24.27,27.338800000000003,19.625,18.554583333333333,16.077083333333334,21.0352,24.420833333333334,22.589166666666667,19.216666666666665,18.3972,15.15,18.400000000000002,23.30333333333333,22.991999999999997,26.99875,58.791666666666664,26.36,25.755,51.13708333333333,13.792499999999999,12.0144,21.354583333333334,32.76,52.905,48.7504,31.0825,24.337083333333336,18.0072,9.512500000000001,6.419583333333333,7.241666666666667,17.5492,13.9425,15.332083333333335,14.600833333333334,11.932083333333333,13.5188,12.637083333333335,15.643749999999999,15.276666666666666,14.534166666666666,14.84,18.487083333333334,17.38416666666667
5afd97e7223bd800198db695,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,outdoor,µg/m³,,,,,,,20.997619047619047,23.892857142857142,18.59512195121951,17.107142857142858,13.99268292682927,16.576190476190476,18.261904761904763,17.145238095238096,17.861904761904764,15.660975609756099,15.15952380952381,15.354761904761904,18.565853658536586,19.071428571428573,24.54285714285714,31.640476190476193,23.44878048780488,20.535714285714285,,22.60909090909091,,,,,42.04047619047619,27.478571428571428,24.6,18.964285714285715,9.347619047619048,6.392682926829269,7.409523809523809,18.497619047619047,16.238095238095237,15.097560975609756,16.188095238095237,13.376190476190475,15.785365853658538,14.753658536585366,16.007142857142856,17.06904761904762,16.621951219512194,16.495238095238093,,
5b2689841fef04001b7af54e,51.966853,7.661677,Euglers Wetterstation,5b2689841fef04001b7af54a,outdoor,µg/m³,42.37709090909091,33.08072727272727,27.617272727272727,31.849636363636364,45.00672727272727,42.975272727272724,48.59672727272728,56.85054545454546,43.10517857142857,35.88945454545455,27.981636363636365,32.963454545454546,36.43109090909091,33.280181818181816,33.27709090909091,30.376,33.25654545454545,32.41327272727273,36.261607142857144,44.32872727272727,49.781636363636366,53.741090909090914,45.27509090909091,39.011272727272726,95.07654545454545,28.863636363636363,32.00127272727273,42.47618181818182,60.571090909090906,89.00236363636364,86.83927272727273,57.35672727272727,56.795370370370364,45.525999999999996,20.17472727272727,13.16690909090909,12.378545454545456,26.168363636363637,22.810892857142857,19.830909090909092,21.376727272727273,18.320545454545453,21.911454545454546,20.659444444444443,21.069272727272725,23.417272727272728,23.776727272727275,23.93290909090909,25.88509090909091,27.88290909090909
5b3e7f6f5dc1ec001be11cf6,51.994149,7.569078,U6B GTÜ SSH Bölling & Partner,5b3e7f6f5dc1ec001be11cf1,outdoor,µg/m³,41.56041666666667,34.452173913043474,29.37,35.44173913043478,40.831304347826084,48.415000000000006,63.59260869565218,59.27565217391304,45.90956521739131,42.75772727272727,31.27208333333333,39.39260869565217,36.724583333333335,32.24227272727273,27.876190476190477,28.26291666666667,30.050416666666667,27.892916666666668,30.65625,44.8675,49.57916666666667,47.01791666666667,43.29541666666666,36.16125,45.07208333333333,32.61666666666667,30.535416666666666,52.72083333333333,74.125,94.65958333333333,89.29124999999999,56.563599999999994,46.76608695652173,35.27583333333333,19.036666666666665,11.509166666666667,13.665833333333333,21.785,22.903333333333332,13.222083333333332,14.959166666666667,19.320416666666667,18.054583333333333,15.835416666666667,18.306250000000002,17.54,16.367916666666666,19.61,17.464166666666667,22.175833333333333
5b411d0e5dc1ec001b4f11cc,52.083515,7.478471,Bahnhofstraße,5b411d0e5dc1ec001b4f11c8,outdoor,µg/m³,25.546666666666667,19.407083333333333,22.03708333333333,34.2032,33.10958333333333,39.03666666666667,50.612500000000004,35.9836,33.53125,27.18625,27.105833333333333,29.6932,27.545,26.162499999999998,26.05125,19.03,24.4425,,,17.875,32.53,22.22583333333333,32.33208333333334,41.82666666666667,100.47916666666667,22.805833333333336,34.4032,42.33954545454546,52.53157894736842,69.1821052631579,58.946363636363635,41.00952380952381,32.334761904761905,20.667391304347827,11.004166666666668,7.72375,15.110833333333334,23.459999999999997,16.8976,18.612916666666667,15.896666666666667,15.71625,16.330833333333334,16.044166666666666,18.60375,18.095882352941175,19.14529411764706,19.7675,20.596666666666668,19.964285714285715
5b69c0bb9c135100199dd67e,51.961585,7.582503,Deipen4_A,5b69c0bb9c135100199dd67c,outdoor,µg/m³,1.6816666666666669,1.2683333333333333,1.215,1.3483333333333334,1.5316666666666667,1.6,1.9766666666666666,1.7650000000000001,1.6833333333333333,1.5583333333333333,1.2733333333333334,1.4733333333333334,1.7383333333333333,1.525,1.5366666666666666,1.5883333333333334,1.2383333333333333,1.7933333333333332,2.12,1.8616666666666668,2.6366666666666663,2.5983333333333336,2.4583333333333335,2.2150000000000003,3.0733333333333333,1.4466666666666665,1.6700000000000002,2.1516666666666664,2.9233333333333333,3.9583333333333335,3.6733333333333333,2.445,1.9967213114754099,1.6833333333333333,0.9783333333333334,0.8316666666666667,1.01,2.2666666666666666,1.0983333333333334,1.0833333333333333,1.1881355932203388,0.85,1.2866666666666666,1.12,1.02,1.1716666666666666,0.8450000000000001,0.8583333333333333,1.025,1.2049999999999998
5bad13dc043f3f001bc29433,51.839513,8.03512,Ennigerloh 1,5bad13dc043f3f001bc29431,outdoor,µg/m³,1.3566666666666667,1.2216666666666667,0.875,0.855,1.0283333333333333,1.3616666666666668,1.2183333333333333,1.3416666666666666,1.2,1.2033333333333334,0.9600000000000001,0.9733333333333333,0.9033333333333334,1.0933333333333333,1.1983333333333335,1.3033333333333335,1.46,1.3033333333333335,1.3366666666666667,1.6083333333333334,1.7983333333333333,1.7650000000000001,1.4783333333333333,1.7416666666666667,5.166666666666667,1.23,0.8283333333333334,1.075,1.15,1.3333333333333333,1.9033333333333333,1.46,1.3333333333333333,1.1683333333333332,0.9333333333333333,0.6966666666666667,0.6549999999999999,0.5816666666666667,0.9183333333333333,0.9508196721311475,0.6666666666666666,0.645,0.9316666666666666,0.755,1,1.3216666666666665,0.8916666666666667,1.0416666666666667,0.8883333333333333,0.9366666666666666
5bc8a101709c0c001bc4a299,51.839285,8.02268,Ennigerloh-Baumviertel,5bc8a101709c0c001bc4a294,outdoor,µg/m³,232.34478260869565,188.87541666666667,154.23499999999999,122.2925,228.49166666666667,324.13,336.9608333333333,238.97166666666666,203.32041666666666,138.29375000000002,45.719166666666666,30.155416666666667,38.70608695652174,45.68291666666667,38.78208333333333,39.389583333333334,51.15217391304348,50.37375,60.22541666666667,83.39347826086956,58.82583333333333,53.67875,51.98500000000001,66.46565217391304,151.15916666666666,47.42166666666666,34.218333333333334,51.953913043478266,40.543749999999996,54.21041666666667,63.60541666666666,74.42541666666666,84.32541666666667,101.41166666666668,62.122173913043476,43.90875,21.41541666666667,18.305833333333332,26.23304347826087,20.485833333333336,18.238333333333333,17.090833333333332,15.448695652173912,18.285833333333333,19.800416666666667,21.309565217391306,22.096818181818183,22.495833333333334,23.614583333333332,23.692083333333333
5be58bb6cdfcd0001c1bff01,51.951764,7.627666,Holzbox,5be58bb6cdfcd0001c1bfeff,outdoor,µg/m³,6.8966666666666665,5.42,4.636666666666667,5.155,7.026666666666667,8.208333333333334,9.338333333333333,9.471666666666666,6.611666666666666,6.626666666666667,5.77,7.006666666666666,7.77,7.493333333333334,6.627586206896551,6.38,5.696610169491525,6.73448275862069,9.941379310344828,8.475,11.853333333333333,12.541666666666666,10.756666666666666,8.985000000000001,17.93,5.72,5.066666666666666,9.008333333333333,13.445,20.228333333333335,19.121666666666666,12.326666666666666,10.775,8.236666666666666,3.5383333333333336,2.1133333333333333,2.2516666666666665,6.614999999999999,5.471666666666667,5.623333333333333,4.293333333333334,3.927586206896552,4.444999999999999,4.095,5.633333333333334,5.0600000000000005,5.2683333333333335,5.748333333333333,5.956666666666666,6.401639344262295
5bfc8dba3e34fc00196a3f8f,51.975688,7.569811,Feinstaubsensor,5bfc8dba3e34fc00196a3f8b,outdoor,µg/m³,18.45958333333333,17.048750000000002,14.565416666666666,18.544999999999998,21.367199999999997,25.784166666666668,32.166666666666664,32.80833333333333,27.207916666666666,26.615416666666665,22.705,27.56958333333333,28.7344,26.07875,24.359583333333333,21.266666666666666,19.304583333333333,21.037916666666668,24.271666666666665,27.4072,30.317916666666665,30.78833333333333,28.304166666666664,21.97791666666667,67.34791666666666,15.64875,14.564583333333333,26.24208333333333,38.5325,58.89125000000001,53.345416666666665,34.257083333333334,28.169166666666666,20.169999999999998,11.717916666666667,8.29625,10.199583333333333,21.26625,18.20375,18.207083333333333,16.14,15.40125,16.181250000000002,14.366666666666667,16.79125,17.264583333333334,17.965416666666666,17.214583333333334,21.7675,21.94333333333333
